"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"IN","2026-09-05","38","6","1","0.55","0.09","0.01","Very Low","Very Low","Very Low","123","123","123","86.01","86.01","86.01"
"OR","2026-09-05","22","8","0","0.52","0.19","0.00","Very Low","Very Low","Very Low","38","38","38","61.29","61.29","61.29"
"HI","2026-09-05","28","3","3","2.01","0.22","0.22","Very Low","Very Low","Very Low","21","21","21","75","75","75"
"KY","2026-09-05","25","9","4","0.55","0.20","0.09","Very Low","Very Low","Very Low","84","84","84","75","75","75"
"MD","2026-09-05","17","9","1","0.28","0.15","0.02","Very Low","Very Low","Very Low","32","32","32","62.75","62.75","62.75"
"NE","2026-09-05","7","0","0","0.35","0.00","0.00","Very Low","Very Low","Very Low","77","77","77","78.57","78.57","78.57"
"WA","2026-09-05","80","44","0","1.03","0.57","0.00","Very Low","Very Low","Very Low","90","90","90","92.78","92.78","92.78"
"VT","2026-09-05","6","0","0","0.93","0.00","0.00","Very Low","Very Low","Very Low","11","11","11","73.33","73.33","73.33"
"AZ","2026-05-16","30","62","27","0.40","0.84","0.36","Very Low","Very Low","Very Low","89","89","89","89.9","89.9","89.9"
"WY","2026-05-16","2","8","4","0.34","1.38","0.69","Very Low","Very Low","Very Low","22","22","22","73.33","73.33","73.33"
"AR","2026-05-16","9","8","8","0.29","0.26","0.26","Very Low","Very Low","Very Low","65","65","65","69.89","69.89","69.89"
"UT","2026-05-16","10","7","8","0.29","0.21","0.23","Very Low","Very Low","Very Low","51","51","51","91.07","91.07","91.07"
"MI","2026-05-16","39","23","51","0.39","0.23","0.51","Very Low","Very Low","Very Low","136","136","136","87.18","87.18","87.18"
"VI","2026-05-16","1","0","0","0.94","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
